"filename", "language", "PHP", "XML", "YAML", "CSS", "JavaScript", "JSON with Comments", "Markdown", "JSON", "SCSS", "comment", "blank", "total"
"c:\xampp\htdocs\sistema-venta\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 2, 17
"c:\xampp\htdocs\sistema-venta\app\Console\Kernel.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 28
"c:\xampp\htdocs\sistema-venta\app\Exceptions\Handler.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 21, 7, 49
"c:\xampp\htdocs\sistema-venta\app\Http\Controllers\Auth\ConfirmPasswordController.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 20, 7, 40
"c:\xampp\htdocs\sistema-venta\app\Http\Controllers\Auth\ForgotPasswordController.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 23
"c:\xampp\htdocs\sistema-venta\app\Http\Controllers\Auth\LoginController.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 20, 7, 41
"c:\xampp\htdocs\sistema-venta\app\Http\Controllers\Auth\RegisterController.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 0, 0, 32, 9, 73
"c:\xampp\htdocs\sistema-venta\app\Http\Controllers\Auth\ResetPasswordController.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 0, 15, 6, 30
"c:\xampp\htdocs\sistema-venta\app\Http\Controllers\Auth\VerificationController.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 20, 7, 42
"c:\xampp\htdocs\sistema-venta\app\Http\Controllers\ClienteController.php", "PHP", 112, 0, 0, 0, 0, 0, 0, 0, 0, 27, 25, 164
"c:\xampp\htdocs\sistema-venta\app\Http\Controllers\Controller.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\xampp\htdocs\sistema-venta\app\Http\Controllers\EmpleadoController.php", "PHP", 70, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22, 93
"c:\xampp\htdocs\sistema-venta\app\Http\Controllers\HomeController.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 30
"c:\xampp\htdocs\sistema-venta\app\Http\Controllers\ProductoController.php", "PHP", 70, 0, 0, 0, 0, 0, 0, 0, 0, 22, 14, 106
